	Text	Class
0	encara,,embus,a,litre,,ap7,sant,cugat,a,santa,perpetua,,girona,topar,d,,camio,turisme,,ara,hectarea,carril,tallat,tambe,aturat,a,santa,perpetua,,sud,afecta,b30	1
1	aturats,a,litre,,ap7,a,litre,,altura,barbera,sentit,girona,litre,,accident,que,hectarea,a,santa,perpetua,,girona,	1
2	congestio,a,c58,donar,cerdanyola,al,nt,a,c33,donar,montcada,al,nt,	1
3	embus,a,litre,,ap7,sant,cugat,a,santa,perpetua,,girona,accident,que,tallar,via,tambe,cua,a,santa,perpetua,,sud,afecta,b30	1
4	retirats,vehicle,accidentat,a,ronda,a,esplugues,,trinitat,millora,circulacio	1
5	talgo,694,,sevillaestacio,franca,,acumular,tresar,d,,donar,retard,incidencia,tecnica,limitacio,velocitat,	1
6	cua,a,ronda,del,nll,a,esplugues,,trinitat,accident,afecta,b23,sant,just,desvern,a,esplugues,,ronda,retencions,a,ronda,litoral,zona,franca,a,can,tunis,,besos	1
7	continuen,cues,,c17,llagosta,a,montcada,,bcn,obrir,de,b24,cervello,a,n340,vallirana,,tarragona,c14,entrar,montblanc,pira,c65,a,llambilles,,a,banda,banda	1
8	ara,tambe,aturat,,ap7,sant,perpetua,a,barbera,rubi,al,papiol,,sud,b23,molins,rei,al,papiol,,girona,c1413,antic,del,papiol,a,sant,cugat,b30,a,barbera,,sud,a,cerdanyola,,nord,c58,a,sant,quirze,,sud	1
9	retencio,a,b22,a,litre,,entrar,t1,litre,,aeroport,del,prat,,tambe,afecte,c31,sud,,tarragona,	1
10	cua,a,ronda,del,nus,del,llobregat,a,esplugues,,trinitat,accident,afecta,b23,sant,just,desvern,a,esplugues,,ronda	1
11	topada,amb,camio,implicar,a,b142,a,litre,,altura,rotonda,polinya,cues	1
12	cues,,a2,a,sant,vicenc,dels,horts,,lleida,obrir,de,b23,molins,rei,a,litre,,ap7,al,papiol,,girona,ap7,b30,a,barbera,,sud,c58,a,sant,quirze,,sud,ronda,sarria,a,roquetes,,besos,cua,a,ronda,litoral,vila,olimpica,,nus,llobregat	1
13	1,soler,carril,obrir,a,c65,a,llagostera,retirar,vehicle,que,hectarea,tenir,accident,precaucio,	1
14	c241d,tallar,a,sarral,,conca,barbera,,retirar,vehicle,que,hectarea,tenir,accident,mati	1
15	retencions,als,tunels,del,garraf,,c32,,a,sitges,pk,36345,,bcn,retiren,vehicle,implicar,accident,,que,al,voral,precaucio,	1
16	1,carril,tallat,a,litre,,a2,a,abrera,pk,583,,bcn,,a,causar,d,,vehicle,avariat,retencions,donar,d,,esparreguera,,precaucio,	1
17	r14,renfe,lleida,06,,23,,estacio,franca,09,,49,circular,amb,35,minut,retard	1
18	nii,reobrir,a,agullana,,alt,emporda,,,estava,tallar,donar,despres,5,,a,causar,d,,accident,encara,retencio,a,pontdemolins,,nord	1
19	,ultimahora,detinguts,4,home,acusat,7,assalt,violent,a,litre,,ap7,es,passar,policia,assaltar,autocaravanes,furgoneta,aparcar,area,servei,mossos	1
20	tallada,donar,despres,5,matinar,litre,,nii,a,agullana,,alt,emporda,,topar,frontal,que,,veure,implicar,3,vehicles,desviaments,litre,,ap7,,sud,litre,,entrar,la,jonquera,nord,litre,,acces,pont,molins	1
21	15,quilometre,cua,a,litre,,a2,martorell,a,palleja,,bcn,retirats,vehicle,implicar,accident,alternativa,,ap7,b23	1
22	pas,alternatiu,a,litre,,n340,a,cervello,pk,1231,,accident,retencions,2,sentit	1
23	nii,tallar,a,agullana,,alt,emporda,,2,sentit,,a,causar,d,,accident,desviaments,litre,,ap7,,precaucio,	1
24	accident,a,litre,,a2,a,palleja,pk,601,,bcn,retencions,donar,santandreudelabarca,,precaucio,	1
25	taxisigualada,gracies,,dia,,	1
26	millora,circulacio,,nomer,quedar,retencio,,autopista,del,maresme,a,argentona,,mataro,vehicle,avariar,,afecta,c60,b30,a,barbera,,sud,a,cerdanyola,,nord,ronda,a,cornella,,llobregat	1
27	cues,,ap7,a,castellbisbal,,bcn,,hi,hectarea,heure,accident,c16,,tunel,vallvidrera,,a,floresta,,bcn	1
28	aturats,a,c58,terrassa,a,sant,quirze,,bcn,,accident,,montcada,al,nus,trinitat,tambe,a,sortir,ripollet,a,sabadell,,terrassa	1
29	cues,,c32,,autopista,del,garraf,,a,sant,boi,tunel,vallvidrera,,bcn	1
30	a,bcn,,accident,a,placa,francesc,macia,cues,a,diagonal,,a,banda,banda	1
31	retencions,,aturats,a,litre,,ap7,a,martorell,c60,a,argentona,a,mataro,c1413,antic,d,,entrar,a,poblacio,sabadell	1
32	trams,retencio,a,ronda,sentit,besos,a,ronda,litoral,sentit,marxar,	1
33	continuen,retencio,,a2,palleja,a,sant,vicenc,dels,horts,,bcn,a,cornella,,lleida,de,b24,cervello,a,n340,vallirana,sentit,tarragona,a,vallirana,,bcn,c17,a,parets,del,valles,c352,a,granollers,ronda,oest,sabadell	1
34	ara,aturats,,ap7,santa,perpetua,a,barbera,rubi,al,papiol,,sud,b30,a,barbera,,sud,a,cerdanyola,,nord,c58,terrassa,a,sant,quirze,montcada,al,nt,b23,molins,rei,al,papiol,,girona	1
35	tambe,retencio,,ronda,litoral,zona,franca,a,can,tunis,,besos,passeig,sant,gervasi,on,hectarea,heure,accident,ronda,general,mitre,a,lesseps,a,litre,,avinguda,del,tibidabo	1
