	Text	Class
0	,operacio,tornada,,queden,retencions,,,ap7,sud,,martorell,castellbisbalbcn,a2,anglesola,bruc,collbatobcn,equipviari	1
1	encara,,embus,ap7,sant,cugat,santa,perpetua,,girona,topada,,camio,turismes,,carril,tallat,tambe,aturats,santa,perpetua,,sud,afecta,b30	1
2	aturats,ap7,altura,barbera,sentit,girona,accident,santa,perpetua,,girona,	1
3	congestio,c58,cerdanyola,c33,montcada,	1
4	embus,ap7,sant,cugat,santa,perpetua,,girona,accident,talla,via,cua,santa,perpetua,,sud,afecta,b30	1
5	retirats,vehicles,accidentats,ronda,esplugues,,trinitat,millora,circulacio	1
6	talgo,694,,sevillaestacio,franca,,acumula,,retard,incidencia,tecnica,limitacions,velocitat,	1
7	cua,ronda,esplugues,,trinitat,accident,afecta,b23,sant,just,desvern,esplugues,,ronda,retencions,ronda,litoral,zona,franca,can,tunis,,besos	1
8	continuen,cues,,c17,llagosta,montcada,,bcn,obres,b24,cervello,n340,vallirana,,tarragona,c14,montblanc,pira,c65,llambilles,banda,banda	1
9	ara,aturats,,ap7,sant,perpetua,barbera,rubi,papiol,,sud,b23,molins,papiol,,girona,c1413,antiga,papiol,sant,cugat,b30,barbera,,sud,cerdanyola,,nord,c58,sant,quirze,,sud	1
10	retencio,b22,entrada,t1,aeroport,prat,,afecta,c31,sud,,tarragona,	1
11	cua,ronda,nus,llobregat,esplugues,,trinitat,accident,afecta,b23,sant,just,desvern,esplugues,,ronda	1
12	topada,camions,implicats,b142,altura,rotonda,polinya,cues	1
13	cues,,a2,sant,vicenc,dels,horts,,lleida,obres,b23,molins,,ap7,papiol,,girona,ap7,b30,barbera,,sud,c58,sant,quirze,,sud,ronda,sarria,roquetes,,besos,cua,ronda,litoral,vila,olimpica,,nus,llobregat	1
14	1,carril,obert,c65,llagostera,retirar,vehicle,tingut,accident,precaucio,	1
15	c241d,tallada,sarral,,conca,barbera,,retirar,vehicle,tingut,accident,mati	1
16	retencions,tunels,garraf,,c32,,sitges,pk,36345,,bcn,retiren,vehicles,implicats,accident,voral,precaucio,	1
17	1,carril,tallat,a2,abrera,pk,583,,bcn,causa,vehicle,avariat,retencions,esparreguera,precaucio,	1
18	r14,renfe,lleida,06,,23,estacio,franca,09,,49,circula,35,minuts,retard	1
19	nii,reoberta,agullana,,emporda,,,tallada,5,causa,accident,retencions,pontdemolins,,nord	1
20	,ultimahora,detinguts,4,homes,acusats,7,assalts,violents,ap7,feien,passar,policies,assaltaven,autocaravanes,furgonetes,aparcades,arees,servei,mossos	1
21	tallada,5,matinada,nii,agullana,,emporda,,topada,frontal,vist,implicats,3,vehicles,desviaments,ap7,,sud,entrada,jonquera,nord,acces,pont,molins	1
22	15,km,cua,a2,martorell,palleja,,bcn,retirats,vehicles,implicats,accident,alternativa,,ap7,b23	1
23	pas,alternatiu,n340,cervello,pk,1231,accident,retencions,2,sentits	1
24	nii,tallada,agullana,,emporda,,2,sentits,causa,accident,desviaments,ap7,precaucio,	1
25	accident,a2,palleja,pk,601,,bcn,retencions,santandreudelabarca,precaucio,	1
26	taxisigualada,gracies,bon,dia,,	1
27	millora,circulacio,queden,retencions,,autopista,maresme,argentona,,mataro,vehicle,avariat,,afecta,c60,b30,barbera,,sud,cerdanyola,,nord,ronda,cornella,,llobregat	1
28	cues,,ap7,castellbisbal,,bcn,,accident,c16,,tunels,vallvidrera,,floresta,,bcn	1
29	aturats,c58,terrassa,sant,quirze,,bcn,,accident,,montcada,nus,trinitat,sortida,ripollet,sabadell,,terrassa	1
30	cues,,c32,,autopista,garraf,,sant,boi,tunel,vallvidrera,,bcn	1
31	a,bcn,,accident,placa,francesc,macia,cues,diagonal,banda,banda	1
32	retencions,,aturats,ap7,martorell,c60,argentona,mataro,c1413,antiga,,entrada,poblacio,sabadell	1
33	trams,retencions,ronda,sentit,besos,ronda,litoral,sentits,marxa,	1
34	continuen,retencions,,a2,palleja,sant,vicenc,dels,horts,,bcn,cornella,,lleida,b24,cervello,n340,vallirana,sentit,tarragona,vallirana,,bcn,c17,parets,valles,c352,granollers,ronda,oest,sabadell	1
35	ara,aturats,,ap7,santa,perpetua,barbera,rubi,papiol,,sud,b30,barbera,,sud,cerdanyola,,nord,c58,terrassa,sant,quirze,montcada,b23,molins,papiol,,girona	1
36	tambe,retencions,,ronda,litoral,zona,franca,can,tunis,,besos,passeig,sant,gervasi,accident,ronda,general,mitre,lesseps,,avinguda,tibidabo	1
37	ara,cues,,ap7,barbera,,sud,b30,barbera,,sud,cerdanyola,,nord,c58,sant,quirze,,sud,b24,cervello,n340,vallirana,sentit,tarragona,vallirana,,bcn,c352,granollers,ronda,oest,sabadell	1
