Text	Class
"🚙 Operació tornada . Queden retencions :
(AP-7 sud)  a  Martorell i a Castellbisbal->BCN
A-2  a Anglesola , al Bruc i a Collbató->BCN  #equipviari"	1
⚠️🚗🚚Encara : Embús a l'AP-7 de Sant Cugat a Santa Perpètua -&gt;Girona per una topada d’un camió i dos turismes . Ara hi ha un carril tallat .També aturats a Santa Perpètua -&gt;sud. Afecta la B-30 	1
⚠️🚗Aturats a l'AP-7 a l'altura de Barberà sentit Girona per l'accident que hi ha a Santa Perpètua-&gt;Girona  .  https://t.co/hGThSHJm5q	1
🚙🔴Congestió a la C-58 des de Cerdanyola al NT i a la  C-33 des de Montcada al NT . 	1
⚠️🚗Embús a l'AP-7 de Sant Cugat a Santa Perpètua -&gt;Girona per un accident que talla la via. També cua de a Santa Perpètua -&gt;sud. Afecta la B-30 	1
✅Retirats els vehicles accidentats a la Ronda de dalt a Esplugues -&gt;Trinitat. Millora la circulació 	1
🚆Talgo 694 (Sevilla-Estació de França ) acumula tres quarts d’hora da retard per una incidència tècnica i limitacions de velocitat . 	1
"⚠️🚗Cua a la Ronda del dalt de NLL a Esplugues -&gt;Trinitat per un accident .Afecta la B-23 de Sant Just Desvern a Esplugues -&gt;Ronda de dalt 
➡️Retencions a la Ronda litoral de Zona Franca a Can Tunis -&gt;Besòs "	1
"🚙Continuen les CUES:
🚧C-17 de la Llagosta a Montcada -&gt;BCN per obres 
De B-24 Cervelló a N-340 Vallirana -&gt;Tarragona 
C-14 entre Montblanc i Pira 
C-65 a Llambilles, a banda i banda "	1
"🚙Ara també aturats:
AP-7 de Sant Perpètua a Barberà i de Rubí al Papiol -&gt;sud 
 B-23 de Molins de Rei al  Papiol -&gt;Girona 
C-1413 antiga del Papiol a Sant Cugat 
 B-30 a Barberà -&gt;sud i a Cerdanyola -&gt;nord 
C-58 a Sant Quirze -&gt;sud "	1
🚙Retenció a la B-22 a l'entrada de la T1 de l'aeroport del Prat . També afecta la C-31 sud -&gt; Tarragona. 	1
⚠️🚗Cua a la Ronda del dalt de Nus del Llobregat a Esplugues -&gt;Trinitat per un accident .Afecta la B-23 de Sant Just Desvern a Esplugues -&gt;Ronda de dalt 	1
⚠️🚚🚚Topada amb dos camions implicats a la B-142 a l'altura de la rotonda de Polinyà. Cues  	1
"🚙CUES:
🚧A-2 a Sant Vicenç dels Horts -&gt;Lleida per obres
De la B-23 Molins de Rei a l’AP-7 al  Papiol -&gt;Girona 
AP-7 i B-30 a Barberà-&gt;sud 
C-58 a Sant Quirze-&gt;sud 
Ronda de dalt de Sarrià a Roquetes-&gt;Besòs 
Cua a la Ronda litoral de la Vila Olímpica-&gt;Nus Llobregat  "	1
⚠️1 sol carril obert a la C-65 a #Llagostera per retirar un vehicle que ha tingut un accident. Precaució! 	1
⚠️C-241-d tallada a #Sarral (Conca de Barberà) per retirar un vehicle que ha tingut un accident aquest matí 	1
⚠️Retencions als Túnels del Garraf (C-32) a #Sitges PK 36-34,5 -&gt; BCN. Retiren els vehicles implicats en un accident, que són al voral. Precaució! 	1
⚠️1 carril tallat a l'A-2 a #Abrera PK 583 -&gt; BCN, a causa d'un vehicle avariat. Retencions des d'#Esparreguera, precaució!  https://t.co/KSxhDjVX8O	1
⚠️🚆R14 @Renfe Lleida 06:23 - Estació França 09:49 circula amb 35 minuts de retard 	1
✔️N-II reoberta a #Agullana (Alt Empordà). Estava tallada des de poc després de les 5, a causa d'un accident. Encara retencions a #PontDeMolins -&gt; nord 	1
⚠ #ÚltimaHora Detinguts 4 homes acusats per 7 assalts violents a l'AP7. Es feien passar per policies i assaltaven de nit autocaravanes i furgonetes aparcades en àrees de servei @mossos https://t.co/H6FUzF5yRz	1
"⚫️Tallada des de poc després de les 5 de la matinada l'N-II a #Agullana (Alt Empordà) per topada frontal en què s'han vist implicats 3 vehicles. Desviaments per l'AP-7:
➡️sud per l'entrada de La Jonquera 
➡️nord per l'accés de Pont de Molins 
 https://t.co/i6gUjYIKG2"	1
⚠️15 km de cua a l'A-2 de #Martorell a #Pallejà -&gt; BCN. Retirats els vehicles implicats en un accident. Alternativa: AP-7 i B-23  https://t.co/dCmMUTjwPE	1
❗️Pas alternatiu a l'N-340 a #Cervelló PK 1.231, per accident. Retencions en tots 2 sentits 	1
⚫️N-II tallada a #Agullana (Alt Empordà) en tots 2 sentits, a causa d'un accident. Desviaments per l'AP-7, precaució! 	1
⚠️Accident a l'A-2 a #Pallejà PK  601 -&gt; BCN.  Retencions des de #SantAndreuDeLaBarca, precaució! 	1
@taxisigualada Gràcies, bon dia! 🙂	1
"🚙Millora la circulació , només queden retencions :
⚠️🚗Autopista del maresme a Argentona -&gt;Mataró per un vehicle avariat . Afecta la C-60 
➡️B-30 a Barberà -&gt;sud i a Cerdanyola -&gt;nord 
➡️Ronda de dalt a Cornellà -&gt;Llobregat  "	1
"🚙CUES:
AP-7 a Castellbisbal -&gt;BCN . Hi ha hagut un accident 
C-16 (túnels de Vallvidrera) a la Floresta -&gt;BCN  "	1
⚠️🚗Aturats a la C-58 de Terrassa a Sant Quirze-&gt;BCN  (accident) i de Montcada al Nus de la Trinitat i també a la sortida de Ripollet i a Sabadell -&gt;Terrassa 	1
"🚙CUES:
C-32 (autopista del Garraf) a Sant Boi 
Túnel de Vallvidrera -&gt;BCN  "	1
⚠️🚗A BCN: Accident a la plaça Francesc Macià. Cues a la Diagonal , a banda i banda  	1
"🚙Retencions:
Aturats a l'AP-7 a Martorell 
C-60 a Argentona cap a Mataró 
C-1413 antiga d’entrada a la població de Sabadell  "	1
🚙Trams de retencions a la Ronda de dalt sentit Besòs  i a la Ronda litoral en tots dos sentits de la marxa. 	1
"🚙Continuen les retencions:
A-2 de Pallejà a Sant Vicenç dels Horts -&gt;BCN i a Cornellà -&gt;Lleida 
De B-24 Cervelló a N-340 Vallirana sentit Tarragona i a Vallirana -&gt;BCN 
C-17 a Parets del Vallès 
C-352 a Granollers 
Ronda oest de Sabadell "	1
"🚙Ara ATURATS:
AP-7 de Santa Perpètua a Barberà i de Rubí al Papiol  -&gt;sud
B-30 a Barberà -&gt;sud i a Cerdanyola -&gt;nord 
C-58 de Terrassa a Sant Quirze i de Montcada al NT 
B-23 de Molins de Rei al Papiol -&gt;Girona "	1
