Text	Class
accident,tarragona,talla,carril,sentit,nord,provoca,2km	1
reflexionat,quantitat,beus,saps,fent,consum,risc,nova,indica,forma,fas,prova	0
conduir,efectes,alcohol,altera,atenció,percepció,funcions,visuals,disminueix,coordinació,capacitats,dificulta,control,taxa,segura	0
causa,obres,sant,feliu,codines,dona,alternatiu,vehicles,retencions,prudència	1
situació,normalitzada,tram	1
causa,accident,sant,boi,2km,retencions,sentit	1
ℹ,bon,dia,retencions,destacades,principals,properes,barcelona,enllacen	1
ℹ,partir,seguir,evolució,web,incidències,bona,prudència,carretera	0
retencions,ronda,pedralbes,sant,gervasi,besòs,talla,carril	1
testimoni,accident,truca,ràpidament,especifica,tipus,accident,nombre,persones,ferides,víctimes,possibles,danys,materials	0
