Text	Class
encara,embus,ap7,sant,cugat,santa,perpetua,gt,girona,topada,camio,turismes,carril,tallat,aturats,santa,perpetua,gt,sud,afecta,b30	1
aturats,ap7,altura,barbera,sentit,girona,accident,santa,perpetuagt,girona	1
congestio,c58,cerdanyola,c33,montcada	1
embus,ap7,sant,cugat,santa,perpetua,gt,girona,accident,talla,cua,santa,perpetua,gt,sud,afecta,b30	1
retirats,vehicles,accidentats,ronda,esplugues,gt,trinitat,millora,circulacio	1
talgo,694,sevillaestacio,frança,acumula,retard,incidencia,tecnica,limitacions,velocitat	1
cua,ronda,esplugues,gt,trinitat,accident,afecta,b23,sant,just,desvern,esplugues,gt,ronda,retencions,ronda,litoral,zona,franca,can,tunis,gt,besos	1
continuen,cues,c17,llagosta,montcada,gt,bcn,obres,b24,cervello,n340,vallirana,gt,tarragona,c14,montblanc,pira,c65,llambilles,banda,banda	1
ara,aturats,ap7,sant,perpetua,barbera,rubi,papiol,gt,sud,b23,molins,papiol,gt,girona,c1413,antiga,papiol,sant,cugat,b30,barbera,gt,sud,cerdanyola,gt,nord,c58,sant,quirze,gt,sud	1
retencio,b22,entrada,t1,aeroport,prat,afecta,c31,sud,gt,tarragona	1
cua,ronda,nus,llobregat,esplugues,gt,trinitat,accident,afecta,b23,sant,just,desvern,esplugues,gt,ronda	1
topada,camions,implicats,b142,altura,rotonda,polinya,cues	1
cues,a2,sant,vicenç,dels,horts,gt,lleida,obres,b23,molins,ap7,papiol,gt,girona,ap7,b30,barberagt,sud,c58,sant,quirzegt,sud,ronda,sarria,roquetesgt,besos,cua,ronda,litoral,vila,olimpicagt,nus,llobregat	1
1,carril,obert,c65,llagostera,retirar,vehicle,tingut,accident,precaucio	1
c241d,tallada,sarral,conca,barbera,retirar,vehicle,tingut,accident,mati	1
claravirgili,gracies,clara,	1
retencions,tunels,garraf,c32,sitges,pk,36345,gt,bcn,retiren,vehicles,implicats,accident,voral,precaucio	1
1,carril,tallat,a2,abrera,pk,583,gt,bcn,causa,vehicle,avariat,retencions,esparreguera,precaucio	1
r14,renfe,lleida,06,23,estacio,frança,09,49,circula,35,minuts,retard	1
nii,reoberta,agullana,emporda,tallada,5,causa,accident,retencions,pontdemolins,gt,nord	1
,ultimahora,detinguts,4,homes,acusats,7,assalts,violents,ap7,feien,passar,policies,assaltaven,autocaravanes,furgonetes,aparcades,arees,servei,mossos	1
tallada,5,matinada,nii,agullana,emporda,topada,frontal,vist,implicats,3,vehicles,desviaments,ap7,sud,entrada,jonquera,nord,acces,pont,molins	1
15,km,cua,a2,martorell,palleja,gt,bcn,retirats,vehicles,implicats,accident,alternativa,ap7,b23	1
pas,alternatiu,n340,cervello,pk,1231,accident,retencions,2,sentits	1
nii,tallada,agullana,emporda,2,sentits,causa,accident,desviaments,ap7,precaucio	1
accident,a2,palleja,pk,601,gt,bcn,retencions,santandreudelabarca,precaucio	1
taxisigualada,gracies,bon,dia,	1
millora,circulacio,queden,retencions,autopista,maresme,argentona,gt,mataro,vehicle,avariat,afecta,c60,b30,barbera,gt,sud,cerdanyola,gt,nord,ronda,cornella,gt,llobregat	1
cues,ap7,castellbisbal,gt,bcn,accident,c16,tunels,vallvidrera,floresta,gt,bcn	1
aturats,c58,terrassa,sant,quirzegt,bcn,accident,montcada,nus,trinitat,sortida,ripollet,sabadell,gt,terrassa	1
cues,c32,autopista,garraf,sant,boi,tunel,vallvidrera,gt,bcn	1
a,bcn,accident,plaça,francesc,macia,cues,diagonal,banda,banda	1
retencions,aturats,ap7,martorell,c60,argentona,mataro,c1413,antiga,entrada,poblacio,sabadell	1
trams,retencions,ronda,sentit,besos,ronda,litoral,sentits,marxa	1
continuen,retencions,a2,palleja,sant,vicenç,dels,horts,gt,bcn,cornella,gt,lleida,b24,cervello,n340,vallirana,sentit,tarragona,vallirana,gt,bcn,c17,parets,valles,c352,granollers,ronda,oest,sabadell	1
ara,aturats,ap7,santa,perpetua,barbera,rubi,papiol,gt,sud,b30,barbera,gt,sud,cerdanyola,gt,nord,c58,terrassa,sant,quirze,montcada,b23,molins,papiol,gt,girona	1
tambe,retencions,ronda,litoral,zona,franca,can,tunis,gt,besos,passeig,sant,gervasi,accident,ronda,general,mitre,lesseps,avinguda,tibidabo	1
